StichtagDatJahr,AnzahlHunde,AnzahlEinwohner,HundePer1000EW,WachstumJahrHunde,WachstumJahrEinwohner
2015,6951,410404,16.9,,
2016,6899,415682,16.6,-1.7751479289940697,1.2860498435687706
2017,7124,423310,16.8,1.2048192771084265,1.8350566057707685
2018,7372,428737,17.2,2.3809523809523725,1.2820391675131715
2019,7616,434008,17.5,1.744186046511631,1.229425032129261
2020,7815,434736,18.0,2.857142857142847,0.16773884352361268
2021,8546,436332,19.6,8.888888888888902,0.36711935519486705
2022,9149,443037,20.7,5.612244897959173,1.536673908858388
2023,9495,447082,21.2,2.4154589371980784,0.9130162943501441
2024,9821,454300,21.6,1.8867924528301883,1.6144689341105245
