KreisCd,StichtagDatJahr,AnzahlHundeStadtkreis,WachstumsrateHundeStadtkreis
1,2015,117,
1,2016,115,-1.7094017094017144
1,2017,124,7.826086956521738
1,2018,126,1.6129032258064502
1,2019,125,-0.7936507936507908
1,2020,124,-0.8000000000000007
1,2021,129,4.0322580645161255
1,2022,139,7.751937984496116
1,2023,141,1.4388489208633004
1,2024,149,5.673758865248235
2,2015,603,
2,2016,603,0.0
2,2017,633,4.975124378109452
2,2018,673,6.319115323854652
2,2019,714,6.092124814264488
2,2020,735,2.941176470588225
2,2021,835,13.605442176870742
2,2022,908,8.74251497005989
2,2023,973,7.15859030837005
2,2024,992,1.9527235354573458
3,2015,643,
3,2016,638,-0.7776049766718529
3,2017,632,-0.9404388714733591
3,2018,658,4.113924050632911
3,2019,674,2.4316109422492405
3,2020,698,3.5608308605341144
3,2021,767,9.885386819484232
3,2022,811,5.736636245110827
3,2023,863,6.411837237977802
3,2024,896,3.8238702201622177
4,2015,371,
4,2016,369,-0.5390835579514808
4,2017,375,1.6260162601626105
4,2018,382,1.866666666666661
4,2019,382,0.0
4,2020,407,6.54450261780104
4,2021,448,10.073710073710075
4,2022,476,6.25
4,2023,487,2.310924369747891
4,2024,504,3.490759753593431
5,2015,194,
5,2016,206,6.185567010309279
5,2017,231,12.135922330097081
5,2018,226,-2.164502164502169
5,2019,244,7.964601769911495
5,2020,253,3.688524590163933
5,2021,289,14.229249011857714
5,2022,321,11.072664359861584
5,2023,342,6.542056074766345
5,2024,351,2.6315789473684292
6,2015,472,
6,2016,485,2.754237288135597
6,2017,515,6.185567010309279
6,2018,501,-2.7184466019417486
6,2019,498,-0.5988023952095856
6,2020,510,2.4096385542168752
6,2021,593,16.27450980392158
6,2022,647,9.10623946037099
6,2023,653,0.9273570324574987
6,2024,677,3.6753445635528292
7,2015,992,
7,2016,980,-1.2096774193548376
7,2017,1003,2.346938775510199
7,2018,1022,1.8943170488534333
7,2019,1065,4.207436399217213
7,2020,1084,1.7840375586854362
7,2021,1160,7.011070110701101
7,2022,1252,7.931034482758625
7,2023,1297,3.5942492012779548
7,2024,1325,2.1588280647648395
8,2015,368,
8,2016,367,-0.27173913043477826
8,2017,378,2.997275204359684
8,2018,397,5.026455026455023
8,2019,402,1.2594458438287104
8,2020,408,1.4925373134328401
8,2021,463,13.480392156862742
8,2022,476,2.807775377969768
8,2023,508,6.72268907563025
8,2024,537,5.7086614173228245
9,2015,847,
9,2016,826,-2.4793388429752095
9,2017,851,3.0266343825665842
9,2018,930,9.283196239717984
9,2019,978,5.161290322580636
9,2020,976,-0.2044989775051076
9,2021,1060,8.606557377049185
9,2022,1149,8.396226415094343
9,2023,1182,2.872062663185382
9,2024,1230,4.060913705583746
10,2015,689,
10,2016,671,-2.612481857764881
10,2017,675,0.5961251862891315
10,2018,692,2.51851851851852
10,2019,705,1.8786127167629951
10,2020,706,0.14184397163119478
10,2021,756,7.082152974504252
10,2022,817,8.06878306878307
10,2023,829,1.4687882496940086
10,2024,872,5.186972255729794
11,2015,1163,
11,2016,1153,-0.8598452278589908
11,2017,1193,3.4692107545533313
11,2018,1253,5.029337803855816
11,2019,1297,3.5115722266560345
11,2020,1351,4.1634541249036205
11,2021,1430,5.847520355292368
11,2022,1514,5.8741258741258795
11,2023,1576,4.095112285336855
11,2024,1630,3.426395939086291
12,2015,491,
12,2016,485,-1.2219959266802416
12,2017,514,5.97938144329897
12,2018,512,-0.3891050583657574
12,2019,532,3.90625
12,2020,563,5.827067669172936
12,2021,616,9.413854351687378
12,2022,639,3.7337662337662447
12,2023,642,0.46948356807512415
12,2024,657,2.336448598130847
